rungroup	entry	fold
rg01_theta12p490_foil0	36028	0
rg01_theta12p490_foil0	36174	0
rg01_theta12p490_foil0	36247	0
rg01_theta12p490_foil0	36395	2
rg01_theta12p490_foil0	36557	1
rg01_theta12p490_foil0	36769	2
rg01_theta12p490_foil0	36860	2
rg01_theta12p490_foil0	37024	1
rg01_theta12p490_foil0	37524	2
rg01_theta12p490_foil0	37848	1
rg01_theta12p490_foil0	37916	0
rg01_theta12p490_foil0	37932	2
rg01_theta12p490_foil0	38297	1
rg01_theta12p490_foil0	38312	2
rg01_theta12p490_foil0	38412	2
rg01_theta12p490_foil0	38421	0
rg01_theta12p490_foil0	38560	2
rg01_theta12p490_foil0	38573	0
rg01_theta12p490_foil0	39062	0
rg01_theta12p490_foil0	39174	1
rg01_theta12p490_foil0	39187	1
rg01_theta12p490_foil0	39539	0
rg01_theta12p490_foil0	39643	1
rg01_theta12p490_foil0	39719	0
rg01_theta12p490_foil0	40107	0
rg01_theta12p490_foil0	40149	1
rg01_theta12p490_foil0	40159	0
rg01_theta12p490_foil0	40176	2
rg01_theta12p490_foil0	40195	0
rg01_theta12p490_foil0	40420	1
rg01_theta12p490_foil0	40506	2
rg01_theta12p490_foil0	40646	0
rg01_theta12p490_foil0	40718	2
rg01_theta12p490_foil0	40835	1
rg01_theta12p490_foil0	41193	0
rg01_theta12p490_foil0	42069	2
rg01_theta12p490_foil0	42122	1
rg01_theta12p490_foil0	42165	0
rg01_theta12p490_foil0	42497	0
rg01_theta12p490_foil0	42503	0
rg01_theta12p490_foil0	42572	1
rg01_theta12p490_foil0	42580	1
rg01_theta12p490_foil0	42690	2
rg01_theta12p490_foil0	42721	2
rg01_theta12p490_foil0	42731	0
rg01_theta12p490_foil0	42770	0
rg01_theta12p490_foil0	43000	2
rg01_theta12p490_foil0	43166	0
rg01_theta12p490_foil0	43328	0
rg01_theta12p490_foil0	43652	2
rg01_theta12p490_foil0	43695	1
rg01_theta12p490_foil0	43754	2
rg01_theta12p490_foil0	43876	1
rg01_theta12p490_foil0	43903	1
rg01_theta12p490_foil0	44082	1
rg01_theta12p490_foil0	44110	2
rg01_theta12p490_foil0	44119	0
rg01_theta12p490_foil0	44148	0
rg01_theta12p490_foil0	44243	2
rg01_theta12p490_foil0	44298	1
rg01_theta12p490_foil0	44362	2
rg01_theta12p490_foil0	44475	2
rg01_theta12p490_foil0	45043	2
rg01_theta12p490_foil0	45074	0
rg01_theta12p490_foil0	45152	0
rg01_theta12p490_foil0	45170	1
rg01_theta12p490_foil0	45256	2
rg01_theta12p490_foil0	45360	1
rg01_theta12p490_foil0	45374	1
rg01_theta12p490_foil0	45642	1
rg01_theta12p490_foil0	46081	1
rg01_theta12p490_foil0	46201	0
rg01_theta12p490_foil0	46288	0
rg01_theta12p490_foil0	46333	0
rg01_theta12p490_foil0	46351	1
rg01_theta12p490_foil0	46511	1
rg01_theta12p490_foil0	46645	1
rg01_theta12p490_foil0	46676	2
rg01_theta12p490_foil0	46701	1
rg01_theta12p490_foil0	46705	2
rg01_theta12p490_foil0	46886	0
rg01_theta12p490_foil0	46899	0
rg01_theta12p490_foil0	46941	0
rg01_theta12p490_foil0	47018	1
rg01_theta12p490_foil0	47042	1
rg01_theta12p490_foil0	47200	2
rg01_theta12p490_foil0	47495	1
rg01_theta12p490_foil0	47570	1
rg01_theta12p490_foil0	47641	1
rg01_theta12p490_foil0	47693	1
rg01_theta12p490_foil0	47728	2
rg01_theta12p490_foil0	47733	2
rg01_theta12p490_foil0	47815	0
rg01_theta12p490_foil0	47926	2
rg01_theta12p490_foil0	47958	2
rg01_theta12p490_foil0	48016	2
rg01_theta12p490_foil0	48114	0
rg01_theta12p490_foil0	48463	1
rg01_theta12p490_foil0	48507	1
rg01_theta12p490_foil0	48599	1
rg01_theta12p490_foil0	48645	0
rg01_theta12p490_foil0	48804	2
rg01_theta12p490_foil0	48961	1
rg01_theta12p490_foil0	48985	1
rg01_theta12p490_foil0	49000	2
rg01_theta12p490_foil0	49015	1
rg01_theta12p490_foil0	49034	2
rg01_theta12p490_foil0	49135	1
rg01_theta12p490_foil0	49158	2
rg01_theta12p490_foil0	49202	1
rg01_theta12p490_foil0	49210	1
rg01_theta12p490_foil0	49263	2
rg01_theta12p490_foil0	49293	0
rg01_theta12p490_foil0	49540	0
rg01_theta12p490_foil0	49602	2
rg01_theta12p490_foil0	49685	2
rg01_theta12p490_foil0	50051	2
rg01_theta12p490_foil0	50128	2
rg01_theta12p490_foil0	50172	1
rg01_theta12p490_foil0	50246	1
rg01_theta12p490_foil0	50563	0
rg01_theta12p490_foil0	50806	0
rg01_theta12p490_foil0	50997	2
rg01_theta12p490_foil0	51097	0
rg01_theta12p490_foil0	51132	2
rg01_theta12p490_foil0	51505	2
rg01_theta12p490_foil0	51533	0
rg01_theta12p490_foil0	51538	2
rg01_theta12p490_foil0	51649	2
rg01_theta12p490_foil0	51662	2
rg01_theta12p490_foil0	51856	1
rg01_theta12p490_foil0	51981	1
rg01_theta12p490_foil0	52297	1
rg01_theta12p490_foil0	52358	1
rg01_theta12p490_foil0	52444	0
rg01_theta12p490_foil0	52603	1
rg01_theta12p490_foil0	52642	1
rg01_theta12p490_foil0	52695	1
rg01_theta12p490_foil0	52709	2
rg01_theta12p490_foil0	52749	2
rg01_theta12p490_foil0	52992	0
rg01_theta12p490_foil0	53048	0
rg01_theta12p490_foil0	53095	2
rg01_theta12p490_foil0	53392	1
rg01_theta12p490_foil0	53763	1
rg01_theta12p490_foil0	53922	0
rg01_theta12p490_foil0	53965	2
rg01_theta12p490_foil0	54263	1
rg01_theta12p490_foil0	54284	0
rg01_theta12p490_foil0	54731	2
rg01_theta12p490_foil0	54822	0
rg01_theta12p490_foil0	54909	1
rg01_theta12p490_foil0	54947	1
rg01_theta12p490_foil0	55086	0
rg01_theta12p490_foil0	55451	0
rg01_theta12p490_foil0	55504	2
rg01_theta12p490_foil0	55584	2
rg01_theta12p490_foil0	55674	1
rg01_theta12p490_foil0	55918	2
rg01_theta12p490_foil0	55998	2
rg01_theta12p490_foil0	62307	2
rg01_theta12p490_foil0	63637	2
rg01_theta12p490_foil0	63694	2
rg01_theta12p490_foil0	63698	0
rg01_theta12p490_foil0	63862	2
rg01_theta12p490_foil0	63924	2
rg01_theta12p490_foil0	63936	2
rg01_theta12p490_foil0	63961	0
rg01_theta12p490_foil0	64171	2
rg01_theta12p490_foil0	64264	1
rg01_theta12p490_foil0	64668	1
rg01_theta12p490_foil0	64757	0
rg01_theta12p490_foil0	64850	0
rg01_theta12p490_foil0	64919	1
rg01_theta12p490_foil0	64922	0
rg01_theta12p490_foil0	65014	1
rg01_theta12p490_foil0	65252	0
rg01_theta12p490_foil0	65305	0
rg01_theta12p490_foil0	65596	2
rg01_theta12p490_foil0	66046	0
rg01_theta12p490_foil0	66077	1
rg01_theta12p490_foil0	66188	0
rg01_theta12p490_foil0	66189	1
rg01_theta12p490_foil0	66261	2
rg01_theta12p490_foil0	66442	1
rg01_theta12p490_foil0	66528	0
rg01_theta12p490_foil0	66744	0
rg01_theta12p490_foil0	66749	2
rg01_theta12p490_foil0	66829	1
rg01_theta12p490_foil0	66902	0
rg01_theta12p490_foil0	67083	2
rg01_theta12p490_foil0	67325	1
rg01_theta12p490_foil0	67360	2
rg01_theta12p490_foil0	67363	0
rg01_theta12p490_foil0	67376	2
rg01_theta12p490_foil0	67425	2
rg01_theta12p490_foil0	67582	2
rg01_theta12p490_foil0	67592	2
rg01_theta12p490_foil0	67609	2
rg01_theta12p490_foil0	67904	0
rg01_theta12p490_foil0	67970	2
rg01_theta12p490_foil0	67979	2
rg01_theta12p490_foil0	68042	0
rg01_theta12p490_foil0	68116	0
rg01_theta12p490_foil0	68307	1
rg01_theta12p490_foil0	68353	1
rg01_theta12p490_foil0	68410	0
rg01_theta12p490_foil0	68688	2
rg01_theta12p490_foil0	68691	0
rg01_theta12p490_foil0	68753	2
rg01_theta12p490_foil0	68802	0
rg01_theta12p490_foil0	69186	2
rg01_theta12p490_foil0	69254	2
rg01_theta12p490_foil0	69298	0
rg01_theta12p490_foil0	69335	2
rg01_theta12p490_foil0	69587	0
rg01_theta12p490_foil0	69818	1
rg01_theta12p490_foil0	69973	2
rg01_theta12p490_foil0	70062	2
rg01_theta12p490_foil0	70193	1
rg01_theta12p490_foil0	70291	0
rg01_theta12p490_foil0	70461	0
rg01_theta12p490_foil0	70612	2
rg01_theta12p490_foil0	70664	1
rg01_theta12p490_foil0	70706	2
rg01_theta12p490_foil0	71150	2
rg01_theta12p490_foil0	71165	0
rg01_theta12p490_foil0	71279	1
rg01_theta12p490_foil0	71663	0
rg01_theta12p490_foil0	71906	0
rg01_theta12p490_foil0	71945	0
rg01_theta12p490_foil0	72106	0
rg01_theta12p490_foil0	72125	2
rg01_theta12p490_foil0	72194	0
rg01_theta12p490_foil0	72291	0
rg01_theta12p490_foil0	72381	2
rg01_theta12p490_foil0	72616	2
rg01_theta12p490_foil0	72703	1
rg01_theta12p490_foil0	72737	2
rg01_theta12p490_foil0	72817	0
rg01_theta12p490_foil0	72837	0
rg01_theta12p490_foil0	72996	0
rg01_theta12p490_foil0	73291	2
rg01_theta12p490_foil0	73518	0
rg01_theta12p490_foil0	73526	2
rg01_theta12p490_foil0	73578	0
rg01_theta12p490_foil0	73748	2
rg01_theta12p490_foil0	73773	1
rg01_theta12p490_foil0	73826	0
rg01_theta12p490_foil0	73910	2
rg01_theta12p490_foil0	73953	0
rg01_theta12p490_foil0	74253	1
rg01_theta12p490_foil0	74294	2
rg01_theta12p490_foil0	74376	1
rg01_theta12p490_foil0	74447	2
rg01_theta12p490_foil0	74715	1
rg01_theta12p490_foil0	74720	2
rg01_theta12p490_foil0	74775	2
rg01_theta12p490_foil0	75126	2
rg01_theta12p490_foil0	75467	1
rg01_theta12p490_foil0	75518	2
rg01_theta12p490_foil0	75633	1
rg01_theta12p490_foil0	75643	0
rg01_theta12p490_foil0	75749	2
rg01_theta12p490_foil0	75861	0
rg01_theta12p490_foil0	75979	2
rg01_theta12p490_foil0	75986	1
rg01_theta12p490_foil0	75995	1
rg01_theta12p490_foil0	76023	0
rg01_theta12p490_foil0	76096	2
rg01_theta12p490_foil0	76296	0
rg01_theta12p490_foil0	76362	1
rg01_theta12p490_foil0	76580	1
rg01_theta12p490_foil0	76782	0
rg01_theta12p490_foil0	76861	2
rg01_theta12p490_foil0	77033	1
rg01_theta12p490_foil0	77259	0
rg01_theta12p490_foil0	77333	1
rg01_theta12p490_foil0	77391	0
rg01_theta12p490_foil0	77895	0
rg01_theta12p490_foil0	77925	2
rg01_theta12p490_foil0	78161	2
rg01_theta12p490_foil0	78297	0
rg01_theta12p490_foil0	78305	1
rg01_theta12p490_foil0	78433	0
rg01_theta12p490_foil0	78688	0
rg01_theta12p490_foil0	78795	0
rg01_theta12p490_foil0	79069	1
rg01_theta12p490_foil0	79085	1
rg01_theta12p490_foil0	79216	1
rg01_theta12p490_foil0	79241	0
rg01_theta12p490_foil0	79311	2
rg01_theta12p490_foil0	79338	0
rg01_theta12p490_foil0	79489	1
rg01_theta12p490_foil0	79595	2
rg01_theta12p490_foil0	79677	2
rg01_theta12p490_foil0	79729	1
rg01_theta12p490_foil0	80104	0
rg01_theta12p490_foil0	80296	1
rg01_theta12p490_foil0	80804	0
rg01_theta12p490_foil0	81098	2
rg01_theta12p490_foil0	81122	1
rg01_theta12p490_foil0	81162	0
rg01_theta12p490_foil0	81163	1
rg01_theta12p490_foil0	81260	0
rg01_theta12p490_foil0	81526	2
rg01_theta12p490_foil0	81622	1
rg01_theta12p490_foil0	81632	2
rg01_theta12p490_foil0	81709	2
rg01_theta12p490_foil0	81770	2
rg01_theta12p490_foil0	81789	0
rg01_theta12p490_foil0	82037	0
rg01_theta12p490_foil0	82114	0
rg01_theta12p490_foil0	82122	2
rg01_theta12p490_foil0	82385	1
rg01_theta12p490_foil0	82551	0
rg01_theta12p490_foil0	82557	1
rg01_theta12p490_foil0	82581	2
rg01_theta12p490_foil0	82596	0
rg01_theta12p490_foil0	82738	2
rg01_theta12p490_foil0	82741	1
rg01_theta12p490_foil0	82885	1
rg01_theta12p490_foil0	83038	1
rg01_theta12p490_foil0	83056	0
rg01_theta12p490_foil0	83163	2
rg01_theta12p490_foil0	83380	0
rg01_theta12p490_foil0	83577	0
rg01_theta12p490_foil0	83584	0
rg01_theta12p490_foil0	83730	2
rg01_theta12p490_foil0	83743	2
rg01_theta12p490_foil0	83747	2
rg01_theta12p490_foil0	83758	2
rg01_theta12p490_foil0	83777	2
rg01_theta12p490_foil0	83879	1
rg01_theta12p490_foil0	84174	0
rg01_theta12p490_foil0	84276	1
rg01_theta12p490_foil0	84348	2
rg01_theta12p490_foil0	84548	0
rg01_theta12p490_foil0	84833	1
rg01_theta12p490_foil0	84885	0
rg01_theta12p490_foil0	84907	1
rg01_theta12p490_foil0	85133	0
rg01_theta12p490_foil0	85150	0
rg01_theta12p490_foil0	85183	0
rg01_theta12p490_foil0	85185	2
rg01_theta12p490_foil0	85380	1
rg01_theta12p490_foil0	85892	2
rg01_theta12p490_foil0	86134	1
rg01_theta12p490_foil0	86502	2
rg01_theta12p490_foil0	86588	0
rg01_theta12p490_foil0	86760	2
rg01_theta12p490_foil0	86997	0
rg01_theta12p490_foil0	87194	0
rg01_theta12p490_foil0	87431	0
rg01_theta12p490_foil0	87440	2
rg01_theta12p490_foil0	87495	2
rg01_theta12p490_foil0	87563	0
rg01_theta12p490_foil0	87886	0
rg01_theta12p490_foil0	87975	0
rg01_theta12p490_foil0	88000	1
rg01_theta12p490_foil0	88021	2
rg01_theta12p490_foil0	88157	0
rg01_theta12p490_foil0	88236	1
rg01_theta12p490_foil0	88300	0
rg01_theta12p490_foil0	88368	0
rg01_theta12p490_foil0	88477	2
rg01_theta12p490_foil0	88589	0
rg01_theta12p490_foil0	88669	1
rg01_theta12p490_foil0	88713	0
rg01_theta12p490_foil0	88763	0
rg01_theta12p490_foil0	88801	1
rg01_theta12p490_foil0	89077	1
rg01_theta12p490_foil0	89157	0
rg01_theta12p490_foil0	89398	2
rg01_theta12p490_foil0	89734	2
rg01_theta12p490_foil0	89781	0
rg01_theta12p490_foil0	89813	0
rg01_theta12p490_foil0	89913	1
rg01_theta12p490_foil0	89949	2
rg01_theta12p490_foil0	90282	0
rg01_theta12p490_foil0	90838	0
rg01_theta12p490_foil0	90848	1
rg01_theta12p490_foil0	90894	0
rg01_theta12p490_foil0	91052	0
rg01_theta12p490_foil0	91246	0
rg01_theta12p490_foil0	91275	2
rg01_theta12p490_foil0	91345	0
rg01_theta12p490_foil0	91350	1
rg01_theta12p490_foil0	91437	0
rg01_theta12p490_foil0	91822	0
rg01_theta12p490_foil0	91942	2
rg01_theta12p490_foil0	92001	1
rg01_theta12p490_foil0	92040	2
rg01_theta12p490_foil0	92077	2
rg01_theta12p490_foil0	92126	1
rg01_theta12p490_foil0	92351	0
rg01_theta12p490_foil0	92370	2
rg01_theta12p490_foil0	92407	2
rg01_theta12p490_foil0	92574	1
rg01_theta12p490_foil0	92650	0
rg01_theta12p490_foil0	93151	1
rg01_theta12p490_foil0	93365	0
rg01_theta12p490_foil0	93367	2
rg01_theta12p490_foil0	93368	2
rg01_theta12p490_foil0	93384	2
rg01_theta12p490_foil0	93464	1
rg01_theta12p490_foil0	93489	0
rg01_theta12p490_foil0	93586	2
rg01_theta12p490_foil0	93605	0
rg01_theta12p490_foil0	93654	2
rg01_theta12p490_foil0	93865	1
rg01_theta12p490_foil0	93991	1
rg01_theta12p490_foil0	93995	0
rg01_theta12p490_foil0	94180	2
rg01_theta12p490_foil0	94355	1
rg01_theta12p490_foil0	94472	1
rg01_theta12p490_foil0	94537	2
rg01_theta12p490_foil0	94588	0
rg01_theta12p490_foil0	94810	2
rg01_theta12p490_foil0	94901	0
rg01_theta12p490_foil0	95006	2
rg01_theta12p490_foil0	95035	2
rg01_theta12p490_foil0	95194	1
rg01_theta12p490_foil0	95400	1
rg01_theta12p490_foil0	95510	0
rg01_theta12p490_foil0	95660	1
rg01_theta12p490_foil0	95695	0
rg01_theta12p490_foil0	95829	0
rg01_theta12p490_foil0	96194	0
rg01_theta12p490_foil0	96252	0
rg01_theta12p490_foil0	96657	2
rg01_theta12p490_foil0	96658	0
rg01_theta12p490_foil0	97087	2
rg01_theta12p490_foil0	97114	1
rg01_theta12p490_foil0	97151	0
rg01_theta12p490_foil0	97391	0
rg01_theta12p490_foil0	97423	0
rg01_theta12p490_foil0	97586	0
rg01_theta12p490_foil0	97600	2
rg01_theta12p490_foil0	97661	2
rg01_theta12p490_foil0	97677	1
rg01_theta12p490_foil0	97836	1
rg01_theta12p490_foil0	97864	1
rg01_theta12p490_foil0	97959	1
rg01_theta12p490_foil0	97996	1
rg01_theta12p490_foil0	98106	0
rg01_theta12p490_foil0	98273	1
rg01_theta12p490_foil0	98355	0
rg01_theta12p490_foil0	98359	0
rg01_theta12p490_foil0	98386	2
rg01_theta12p490_foil0	98610	2
rg01_theta12p490_foil0	98708	0
rg01_theta12p490_foil0	98814	0
rg01_theta12p490_foil0	98865	1
rg01_theta12p490_foil0	98928	2
rg01_theta12p490_foil0	98935	0
rg01_theta12p490_foil0	99218	2
rg01_theta12p490_foil0	99244	0
rg01_theta12p490_foil0	99331	2
rg01_theta12p490_foil0	99347	1
rg01_theta12p490_foil0	99374	2
rg01_theta12p490_foil0	99392	2
rg01_theta12p490_foil0	99395	0
rg01_theta12p490_foil0	99518	0
rg01_theta12p490_foil0	99524	0
rg01_theta12p490_foil0	99632	2
rg01_theta12p490_foil0	99692	1
rg01_theta12p490_foil0	99758	1
rg01_theta12p490_foil0	99907	0
rg01_theta12p490_foil0	99908	2
rg01_theta12p490_foil0	100270	1
rg01_theta12p490_foil0	100277	0
rg01_theta12p490_foil0	100313	0
rg01_theta12p490_foil0	100348	1
rg01_theta12p490_foil0	100558	0
rg01_theta12p490_foil0	100580	0
rg01_theta12p490_foil0	100712	0
rg01_theta12p490_foil0	100748	2
rg01_theta12p490_foil0	100820	2
rg01_theta12p490_foil0	100891	0
rg01_theta12p490_foil0	101043	2
rg01_theta12p490_foil0	101287	1
rg01_theta12p490_foil0	101314	1
rg01_theta12p490_foil0	101492	2
rg01_theta12p490_foil0	101717	0
rg01_theta12p490_foil0	101858	1
rg01_theta12p490_foil0	101863	1
rg01_theta12p490_foil0	102107	1
rg01_theta12p490_foil0	102329	1
rg01_theta12p490_foil0	102429	2
rg01_theta12p490_foil0	102442	1
rg01_theta12p490_foil0	102457	2
rg01_theta12p490_foil0	102561	0
rg01_theta12p490_foil0	102616	1
rg01_theta12p490_foil0	102896	0
rg01_theta12p490_foil0	103180	1
rg01_theta12p490_foil0	103225	2
rg01_theta12p490_foil0	103524	1
rg01_theta12p490_foil0	103563	0
rg01_theta12p490_foil0	103626	0
rg01_theta12p490_foil0	103665	1
rg01_theta12p490_foil0	103715	2
rg01_theta12p490_foil0	103769	0
rg01_theta12p490_foil0	103800	0
rg01_theta12p490_foil0	104077	2
rg01_theta12p490_foil0	104111	2
rg01_theta12p490_foil0	104265	2
rg01_theta12p490_foil0	104711	0
rg01_theta12p490_foil0	104964	2
rg01_theta12p490_foil0	105076	2
rg01_theta12p490_foil0	105110	2
rg01_theta12p490_foil0	105153	2
rg01_theta12p490_foil0	105400	0
rg01_theta12p490_foil0	105408	2
rg01_theta12p490_foil0	105419	0
rg01_theta12p490_foil0	105506	1
rg01_theta12p490_foil0	105887	1
rg01_theta12p490_foil0	105931	1
rg01_theta12p490_foil0	106026	2
rg01_theta12p490_foil0	106198	1
rg01_theta12p490_foil0	106814	2
rg01_theta12p490_foil0	106830	2
rg01_theta12p490_foil0	106860	1
rg01_theta12p490_foil0	107009	2
rg01_theta12p490_foil0	107108	1
rg01_theta12p490_foil0	107307	1
rg01_theta12p490_foil0	107321	2
rg01_theta12p490_foil0	107341	0
rg01_theta12p490_foil0	107351	0
rg01_theta12p490_foil0	107509	1
rg01_theta12p490_foil0	107633	2
rg01_theta12p490_foil0	107760	1
rg01_theta12p490_foil0	107965	0
rg01_theta12p490_foil0	108037	0
rg01_theta12p490_foil0	108174	0
rg01_theta12p490_foil0	108253	1
rg01_theta12p490_foil0	108464	0
rg01_theta12p490_foil0	108483	2
rg01_theta12p490_foil0	108595	1
rg01_theta12p490_foil0	108605	2
rg01_theta12p490_foil0	108677	0
rg01_theta12p490_foil0	109107	0
rg01_theta12p490_foil0	109321	0
rg01_theta12p490_foil0	109342	0
rg01_theta12p490_foil0	109525	1
rg01_theta12p490_foil0	109547	0
rg01_theta12p490_foil0	109718	1
rg01_theta12p490_foil0	109722	2
rg01_theta12p490_foil0	109725	0
rg01_theta12p490_foil0	110097	0
rg01_theta12p490_foil0	110110	1
rg01_theta12p490_foil0	110114	0
rg01_theta12p490_foil0	110399	0
rg01_theta12p490_foil0	110431	1
rg01_theta12p490_foil0	110691	2
rg01_theta12p490_foil0	110970	0
rg01_theta12p490_foil0	111094	1
rg01_theta12p490_foil0	111101	0
rg01_theta12p490_foil0	111201	0
